"timestamp","x.7874","x.7877","x.7878","x.7879","x.7880","y.7874","y.7877","y.7878","y.7879","y.7880"
"3/24/88",122140.2746,139246.0662,14213.80525,117422.85,-4163.639923,17290.81109,-52094.82313,-89345.12356,9951.945935,-13843.76837
"3/25/88",123986.2233,141215.0782,13229.29926,117833.0609,-9783.528292,15178.10749,-53429.16225,-87899.58951,12175.84447,-15289.30241
"3/26/88",120663.5156,141625.289,12080.70894,120253.3048,-6214.694072,15845.27705,-49426.14489,-87899.58951,12175.84447,-15178.10749
"3/27/88",123534.9914,135020.8946,18315.91355,119350.8409,-5476.314578,14399.743,-51205.26372,-86454.05547,11842.25969,-14177.35315
"3/28/88",118530.4193,137851.3494,14541.97392,114961.5851,-4655.892919,12620.62417,-53095.57747,-87010.0301,10730.31042,-15734.08212
"3/29/88",118202.2506,136743.7801,12942.15168,113977.0791,-4655.892919,14399.743,-52650.79777,-88677.954,10952.70027,-15400.49734
"3/30/88",117504.8922,139369.1294,13557.46793,114633.4164,-6255.715155,11953.45461,-51205.26372,-87788.39459,12398.23432,-16846.03139
"3/31/88",114756.4796,138589.7289,13270.32035,112541.3412,-4860.998334,11397.47998,-52206.01806,-88566.75907,12620.62417,-15178.10749
"4/1/88",116315.2808,138261.5602,13270.32035,117094.6814,-5763.462159,10619.11549,-51650.04343,-88789.14893,14510.93793,-16734.83646
"4/2/88",114674.4375,139656.277,13598.48901,115740.9856,-3630.365844,13843.76837,-51650.04343,-88566.75907,13398.98866,-15178.10749
"4/3/88",112500.3201,140558.7408,12244.79327,113484.8261,-6091.630823,14733.32778,-52873.18762,-89011.53878,12509.42925,-15734.08212
"4/4/88",114018.1002,141050.9938,14993.20583,114305.2477,-5189.166998,15734.08212,-52873.18762,-86898.83517,13287.79373,-15289.30241
"4/5/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/6/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/7/88",111351.7298,142937.9637,16593.02807,106593.2841,-7117.157898,16290.05675,-56320.23035,-83229.40259,14066.15822,-17290.81109
"4/8/88",113895.0369,142158.5631,11998.66677,107864.9377,-6624.904902,14955.71763,-58321.73903,-86898.83517,14066.15822,-16401.25168
"4/9/88",113484.8261,137523.1807,4122.61884,114428.311,-6173.672989,16178.86183,-58988.90858,-79115.19031,15511.69227,-13954.96329
"4/10/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/11/88",113443.805,142240.6052,5640.39891,112746.4466,-6583.883819,15400.49734,-62880.73102,-82895.81781,15734.08212,-15400.49734
"4/12/88",114018.1002,143471.2377,11014.16078,112377.2568,-8019.621723,15511.69227,-62880.73102,-80449.52943,17068.42124,-15622.88719
"4/13/88",113525.8472,141543.2468,9578.422877,111187.6454,-5558.356744,15289.30241,-62880.73102,-80338.3345,16957.22631,-14399.743
"4/14/88",114100.1423,137605.2229,8963.106632,112787.4677,-8881.064466,15400.49734,-52094.82313,-80227.13957,16290.05675,-17068.42124
"4/15/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/16/88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/17/88",89692.59795,131780.2291,5476.314578,90923.23044,-6583.883819,20293.07411,-37861.87252,-77447.26641,19403.5147,-15066.91256
"4/18/88",82021.65543,130836.7442,1620.332778,84318.83607,-5312.230246,28966.27839,-33414.07546,-77892.04611,27409.54942,-14510.93793
"4/19/88",74842.96591,130877.7653,7199.200064,74637.86049,1128.079782,23962.50669,-29411.0581,-79226.38523,34414.8298,-1389.936583
"4/20/88",66310.58064,111146.6243,6009.588657,67787.33963,8840.043383,24852.06611,-21405.02338,-77669.65626,37194.70296,7839.242328
